Language, TED, TEDx
Swahili , 13 , 0
Estonian , 91 , 50
Telugu , 14 , 0
Kyrgyz , 8 , 0
Bulgarian , 1343 , 65
Norwegian , 172 , 0
French , 1919 , 550
Armenian , 269 , 0
Tamil , 62 , 7
Uyghur , 8 , 0
Nepali , 21 , 0
Finnish , 187 , 28
Albanian , 395 , 0
Tagalog , 14 , 0
Serbian , 904 , 0
Malayalam , 4 , 0
Italian , 1641 , 237
Tibetan , 14 , 0
Bislama , 1 , 0
Galician , 65 , 7
German , 1378 , 118
Slovak , 578 , 59
Urdu , 43 , 26
Polish , 1442 , 134
Occitan , 1 , 0
Swedish , 377 , 39
Marathi , 59 , 0
Slovenian , 196 , 0
Azerbaijani , 61 , 17
Danish , 325 , 0
Indonesian , 763 , 58
Klingon , 1 , 0
Latin , 1 , 0
Georgian , 87 , 0
Uzbek , 42 , 0
Tajik , 11 , 0
Thai , 515 , 1
Afrikaans , 19 , 0
Ingush , 1 , 0
Slovene , 0 , 73
Serbo-Croatian , 12 , 0
Greek , 983 , 104
Burmese , 20 , 0
Latvian , 248 , 0
English , 1984 , 15684
Croatian , 874 , 44
Chinese , 0 , 63
Arabic , 1456 , 396
Hupa , 1 , 0
Icelandic , 10 , 28
Turkish , 1212 , 75
Gujarati , 14 , 0
Hindi , 172 , 10
Korean , 1524 , 573
Creole , 0 , 0
Malagasy , 8 , 0
Khmer , 1 , 0
Hungarian , 1028 , 54
Catalan , 237 , 57
Bosnian , 43 , 0
Lithuanian , 315 , 8
Malay , 44 , 1
Luxembourgish , 1 , 0
Russian , 1390 , 347
Macedo , 11 , 0
Kazakh , 9 , 0
Cebuano , 1 , 0
Bengali , 53 , 0
Amharic , 2 , 0
Rajasthani , 0 , 17
Hausa , 1 , 0
Irish , 2 , 0
Czech , 730 , 64
Belarusian , 9 , 0
Kannada , 11 , 0
Macedonian , 219 , 0
Persian , 925 , 0
Mongolian , 28 , 0
Basque , 35 , 0
Sinhala , 3 , 0
Vietnamese , 857 , 0
Romanian , 1593 , 71
Dutch , 1377 , 25
Lao , 2 , 0
Filipino , 42 , 0
Ukrainian , 553 , 40
Maltese , 1 , 0
Assamese , 1 , 0
Kurdish , 121 , 0
Hebrew , 1673 , 13
Asturian , 2 , 0
Portuguese , 2521 , 913
Japanese , 1109 , 258
Spanish , 1888 , 1225
Esperanto , 72 , 0
